adlist.c list 	AboutActivity.java saved 
list len 	instance 
current 	state toolbar 
next list 	bundle context 
node list 	compat 
node list 	toolbar view 
old node 	glide 
node list 	disk cache 
node 	strategy activity 
list direction 	setting 
iter iter 	android bundle 
list list 	android support 
iter current 	content 
orig copy 	context compat 
iter 	android support 
node list 	widget 
key iter 	toolbar android 
node list 	view view 
index list 	bumptech 
tail zmalloc 	glide glide 
free 	bumptech 
zfree zfree 	glide load 
zmalloc zmalloc 	engine disk 
zmalloc free 	cache 
zfree zmalloc 	strategy xiecc 
zfree list 	see weather 
create 	xiecc 
list iterator 	see weather 
list next 	activity xiecc 
dup list 	see 
release list 	weather modules 
release iterator 	domain setting 
list 	android 
node tail 	bundle android 
list release 	support 
list release 	content context 
iterator list 	compat android 
release iterator 	support 
list 	widget toolbar 
iterator list 	android view 
next match 	view 
list release 	bumptech glide 
iterator list 	glide bumptech 
release iterator 	glide 
list 	load engine 
release iterator 	disk cache 
list length 	strategy 
adlist doubly 	xiecc see 
linked list 	weather 
implementation copyright 	xiecc see 
salvatore 	weather activity 
sanfilippo antirez 	xiecc 
gmail dot 	see weather 
rights reserved 	modules domain 
redistribution use 	setting 
source binary 	android bundle 
forms 	android support 
without modification 	content 
permitted provided 	context compat 
following conditions 	android support 
met redistributions 	widget 
source code 	toolbar android 
must 	view 
retain copyright 	view bumptech 
notice list 	glide glide 
conditions following 	bumptech 
disclaimer redistributions 	glide load 
binary form 	engine disk 
must 	cache 
reproduce copyright 	strategy xiecc 
notice list 	see weather 
conditions following 	xiecc 
disclaimer documentation 	see weather 
materials provided 	activity xiecc 
distribution 	see 
neither name 	weather modules 
redis names 	domain 
contributors may 	setting android 
used endorse 	bundle android 
promote products 	support 
derived 	content context 
software without 	compat android 
specific prior 	support 
written permission 	widget toolbar 
software provided 	android view 
copyright holders 	view 
contributors 	bumptech glide 
express implied 	glide bumptech 
warranties including 	glide 
limited implied 	load engine 
warranties merchantability 	disk 
fitness particular 	cache strategy 
purpose 	xiecc see 
disclaimed shall 	weather 
copyright owner 	xiecc see 
contributors liable 	weather activity 
direct indirect 	xiecc 
incidental special 	see weather 
exemplary 	modules domain 
consequential damages 	setting 
including limited 	android bundle 
procurement substitute 	android support 
goods services 	content 
loss use 	context compat 
data 	android 
profits business 	support widget 
interruption however 	toolbar android 
caused theory 	view 
liability whether 	view bumptech 
contract strict 	glide glide 
liability 	bumptech 
tort including 	glide load 
negligence otherwise 	engine disk 
arising way 	cache 
use software 	strategy xiecc 
even advised 	see weather 
possibility 	xiecc 
damage create 	see weather 
list created 	activity 
list freed 	xiecc see 
free list 	weather modules 
every node 	domain 
need 	setting android 
freed user 	bundle android 
call free 	support 
list error 	content context 
returned otherwise 	compat android 
pointer list 	support 
free 	widget toolbar 
whole list 	android view 
function fail 	view 
node list 	bumptech glide 
head containing 	glide 
specified pointer 	bumptech glide 
error 	load engine 
returned operation 	disk 
performed list 	cache strategy 
remains unaltered 	xiecc see 
success list 	weather 
pointer pass 	xiecc see 
function 	weather activity 
returned node 	xiecc 
list tail 	see weather 
containing specified 	modules domain 
pointer error 	setting 
returned operation 	android bundle 
performed 	android 
list remains 	support content 
unaltered success 	context compat 
list pointer 	android 
pass function 	support widget 
returned specified 	toolbar android 
node 	view 
specified list 	view bumptech 
caller free 	glide glide 
node function 	bumptech 
fail returns 	glide load 
list iterator 	engine disk 
iter 	cache 
initialization every 	strategy xiecc 
call list 	see 
next next 	weather xiecc 
element list 	see weather 
function fail 	activity 
release 	xiecc see 
iterator memory 	weather modules 
create iterator 	domain 
list iterator 	setting android 
structure next 	bundle android 
element iterator 	support 
valid 	content context 
currently returned 	compat android 
element list 	support 
del node 	widget toolbar 
elements function 	android 
returns pointer 	view view 
next 	bumptech glide 
element list 	glide 
elements classical 	bumptech glide 
usage patter 	load engine 
iter list 	disk 
iterator list 	cache strategy 
direction 	xiecc see 
node list 	weather 
next iter 	xiecc see 
something list 	weather activity 
node node 	xiecc 
duplicate whole 	see weather 
list 	modules 
memory returned 	domain setting 
success copy 	android bundle 
original list 	android 
returned dup 	support content 
method list 	context compat 
dup 	android 
method function 	support widget 
used copy 	toolbar android 
node otherwise 	view 
pointer original 	view bumptech 
node used 	glide glide 
copied 	bumptech 
node original 	glide load 
list success 	engine 
error never 	disk cache 
modified search 	strategy xiecc 
list node 	see 
matching 	weather xiecc 
given key 	see weather 
match performed 	activity 
match method 	xiecc see 
list match 	weather modules 
method match 	domain 
method 	setting android 
pointer every 	bundle android 
node directly 	support 
compared key 	content context 
pointer success 	compat 
first matching 	android support 
node 	widget toolbar 
pointer returned 	android 
search starts 	view view 
