abspath.c path 	adlist.c list 
path die error 	list len 
retval cwd 	current 
depth last elem 	next list 
last slash 	node list 
next len path 	node list 
path path 	old node 
pfx pfx len 	node list 
arg path 	node 
stat isdir die 	list direction 
strbuf reset 	iter iter 
strbuf addstr directory 	list list 
find last 	iter current 
dir sep xstrdup 	orig copy 
strbuf setlen 	iter 
xmemdupz strbuf reset 	node list 
strbuf getcwd 	key iter 
die errno chdir 	node list 
die errno 	index list 
strbuf getcwd 	tail zmalloc 
die errno dir 	free 
sep strbuf 	zfree zfree 
addch strbuf addstr 	zmalloc zmalloc 
free lstat 	zmalloc free 
islnk strbuf readlink 	zfree zmalloc 
die errno 	zfree list 
strbuf swap strbuf 	create 
release free 	list iterator 
chdir die errno 	list next 
strbuf release 	dup list 
real path real 	release list 
path strbuf 	release iterator 
reset strbuf absolute 	list 
path absolute 	node tail 
path strbuf reset 	list release 
strbuf strbuf 	list release 
addstr strbuf reset 	iterator list 
absolute path 	release iterator 
strbuf strbuf 	list 
addstr use inspecting 	iterator list 
tracked content 	next match 
path symlink directory 	list release 
want say 	iterator list 
directory dealing tracked 	release iterator 
content working 	list 
allow recursive symbolic 	release iterator 
links within 	list length 
reason though real 	adlist doubly 
path absolute 	linked list 
path symlinks resolved 	implementation copyright 
extra slashes 	salvatore 
removed equivalent specified 	sanfilippo antirez 
path want 	gmail dot 
absolute path mind 	rights reserved 
links use 	redistribution use 
absolute path 	source binary 
pointer buffer input 	forms 
intermediate paths 	without modification 
must shorter max 	permitted provided 
path directory 	following conditions 
part path everything 	met redistributions 
last dir 	source code 
sep must denote 	must 
valid existing 	retain copyright 
directory last component 	notice list 
need exist 	conditions following 
die error die 	disclaimer redistributions 
informative error 	binary form 
message problem otherwise 	must 
errors without 	reproduce copyright 
generating output path 	notice list 
buffer path 	conditions following 
already user wants 	disclaimer documentation 
temporarily chdir 	materials provided 
store original 	distribution 
cwd chdir back 	neither name 
end function 	redis names 
already done use 	contributors may 
absolute path 	used endorse 
relative one want 	promote products 
resolve links 	derived 
use real path 	software without 
unlike prefix 	specific prior 
path used named 	written permission 
file interact 	software provided 
index entry name 	copyright holders 
random file 	contributors 
filesystem prefix absolute 	express implied 
paths still 	warranties including 
replace add.c builtin 	limited implied 
usage patch 	warranties merchantability 
interactive interactive edit 	fitness particular 
interactive take 	purpose 
worktree changes 	disclaimed shall 
flags errors data 	copyright owner 
opt cbdata 	contributors liable 
data path prefix 	direct indirect 
pathspec flags 	incidental special 
data rev dir 	exemplary 
pathspec prefix 	consequential damages 
seen src dst 	including limited 
entry verbose 	procurement substitute 
pathspec seen revision 	goods services 
patch mode 	loss use 
pathspec status argv 	data 
argc argv 	profits business 
prefix patch pathspec 	interruption however 
argc argv 	caused theory 
prefix file apply 	liability whether 
argv child 	contract strict 
rev file ignore 	liability 
error verbose 	tort including 
show ignored 	negligence otherwise 
refresh ignore errors 	arising way 
intent ignore 	use software 
missing addremove addremove 	even advised 
opt arg 	possibility 
unset builtin options 	damage create 
dir flags 	list created 
exit status argc 	list freed 
argv prefix 	free list 
exit status pathspec 	every node 
dir flags 	need 
files require pathspec 	freed user 
seen baselen 	call free 
path dtype fix 	list error 
unmerged status 	returned otherwise 
die file index 	pointer list 
die file 	free 
index memset 	whole list 
init revisions setup 	function fail 
revisions copy 	node list 
pathspec run diff 	head containing 
files xcalloc 	specified pointer 
dir path match 	error 
pathspec matches 	returned operation 
index xcalloc refresh 	performed list 
index die 	remains unaltered 
free argv push 	success list 
argv push 	pointer pass 
argv push argv 	function 
push argv 	returned node 
push run command 	list tail 
opt argv 	containing specified 
clear parse pathspec 	pointer error 
run interactive 	returned operation 
git pathdup git 	performed 
config read 	list remains 
cache die 	unaltered success 
init revisions setup 	list pointer 
revisions diff 	pass function 
opt open die 	returned specified 
xfdopen run 	node 
diff files die 	specified list 
launch editor 	caller free 
die stat die 	node function 
errno die 	fail returns 
run command die 	list iterator 
unlink free 	iter 
strcmp strcmp git 	initialization every 
config git 	call list 
config file cache 	next next 
die git 	element list 
config parse options 	function fail 
exit interactive 	release 
edit patch die 	iterator memory 
die hold 	create iterator 
locked index 	list iterator 
read cache die 	structure next 
parse pathspec 	element iterator 
memset setup standard 	valid 
excludes fill 	currently returned 
directory prune directory 	element list 
refresh find 	del node 
pathspecs matching index 	elements function 
guard pathspec 	returns pointer 
file exists excluded 	next 
dir ignored 	element list 
die free plug 	elements classical 
bulk checkin 	usage patter 
files cache files 	iter list 
unplug bulk 	iterator list 
checkin write locked 	direction 
index die 	node list 
git builtin command 	next iter 
copyright linus 	something list 
torvalds request 	node node 
path missing working 	duplicate whole 
deleted either 	list 
request path exists 	memory returned 
