AboutActivity.java saved 	abspath.c path 
instance 	path die error 
state toolbar 	retval cwd 
bundle context 	depth last elem 
compat 	last slash 
toolbar view 	next len path 
glide 	path path 
disk cache 	pfx pfx len 
strategy activity 	arg path 
setting 	stat isdir die 
android bundle 	strbuf reset 
android support 	strbuf addstr directory 
content 	find last 
context compat 	dir sep xstrdup 
android support 	strbuf setlen 
widget 	xmemdupz strbuf reset 
toolbar android 	strbuf getcwd 
view view 	die errno chdir 
bumptech 	die errno 
glide glide 	strbuf getcwd 
bumptech 	die errno dir 
glide load 	sep strbuf 
engine disk 	addch strbuf addstr 
cache 	free lstat 
strategy xiecc 	islnk strbuf readlink 
see weather 	die errno 
xiecc 	strbuf swap strbuf 
see weather 	release free 
activity xiecc 	chdir die errno 
see 	strbuf release 
weather modules 	real path real 
domain setting 	path strbuf 
android 	reset strbuf absolute 
bundle android 	path absolute 
support 	path strbuf reset 
content context 	strbuf strbuf 
compat android 	addstr strbuf reset 
support 	absolute path 
widget toolbar 	strbuf strbuf 
android view 	addstr use inspecting 
view 	tracked content 
bumptech glide 	path symlink directory 
glide bumptech 	want say 
glide 	directory dealing tracked 
load engine 	content working 
disk cache 	allow recursive symbolic 
strategy 	links within 
xiecc see 	reason though real 
weather 	path absolute 
xiecc see 	path symlinks resolved 
weather activity 	extra slashes 
xiecc 	removed equivalent specified 
see weather 	path want 
modules domain 	absolute path mind 
setting 	links use 
android bundle 	absolute path 
android support 	pointer buffer input 
content 	intermediate paths 
context compat 	must shorter max 
android support 	path directory 
widget 	part path everything 
toolbar android 	last dir 
view 	sep must denote 
view bumptech 	valid existing 
glide glide 	directory last component 
bumptech 	need exist 
glide load 	die error die 
engine disk 	informative error 
cache 	message problem otherwise 
strategy xiecc 	errors without 
see weather 	generating output path 
xiecc 	buffer path 
see weather 	already user wants 
activity xiecc 	temporarily chdir 
see 	store original 
weather modules 	cwd chdir back 
domain 	end function 
setting android 	already done use 
bundle android 	absolute path 
support 	relative one want 
content context 	resolve links 
compat android 	use real path 
support 	unlike prefix 
widget toolbar 	path used named 
android view 	file interact 
view 	index entry name 
bumptech glide 	random file 
glide bumptech 	filesystem prefix absolute 
glide 	paths still 
load engine 	replace add.c builtin 
disk 	usage patch 
cache strategy 	interactive interactive edit 
xiecc see 	interactive take 
weather 	worktree changes 
xiecc see 	flags errors data 
weather activity 	opt cbdata 
xiecc 	data path prefix 
see weather 	pathspec flags 
modules domain 	data rev dir 
setting 	pathspec prefix 
android bundle 	seen src dst 
android support 	entry verbose 
content 	pathspec seen revision 
context compat 	patch mode 
android 	pathspec status argv 
support widget 	argc argv 
toolbar android 	prefix patch pathspec 
view 	argc argv 
view bumptech 	prefix file apply 
glide glide 	argv child 
bumptech 	rev file ignore 
glide load 	error verbose 
engine disk 	show ignored 
cache 	refresh ignore errors 
strategy xiecc 	intent ignore 
see weather 	missing addremove addremove 
xiecc 	opt arg 
see weather 	unset builtin options 
activity 	dir flags 
xiecc see 	exit status argc 
weather modules 	argv prefix 
domain 	exit status pathspec 
setting android 	dir flags 
bundle android 	files require pathspec 
support 	seen baselen 
content context 	path dtype fix 
compat android 	unmerged status 
support 	die file index 
widget toolbar 	die file 
android view 	index memset 
view 	init revisions setup 
bumptech glide 	revisions copy 
glide 	pathspec run diff 
bumptech glide 	files xcalloc 
load engine 	dir path match 
disk 	pathspec matches 
cache strategy 	index xcalloc refresh 
xiecc see 	index die 
weather 	free argv push 
xiecc see 	argv push 
weather activity 	argv push argv 
xiecc 	push argv 
see weather 	push run command 
modules domain 	opt argv 
setting 	clear parse pathspec 
android bundle 	run interactive 
android 	git pathdup git 
support content 	config read 
context compat 	cache die 
android 	init revisions setup 
support widget 	revisions diff 
toolbar android 	opt open die 
view 	xfdopen run 
view bumptech 	diff files die 
glide glide 	launch editor 
bumptech 	die stat die 
glide load 	errno die 
engine disk 	run command die 
cache 	unlink free 
strategy xiecc 	strcmp strcmp git 
see 	config git 
weather xiecc 	config file cache 
see weather 	die git 
activity 	config parse options 
xiecc see 	exit interactive 
weather modules 	edit patch die 
domain 	die hold 
setting android 	locked index 
bundle android 	read cache die 
support 	parse pathspec 
content context 	memset setup standard 
compat android 	excludes fill 
support 	directory prune directory 
widget toolbar 	refresh find 
android 	pathspecs matching index 
view view 	guard pathspec 
bumptech glide 	file exists excluded 
glide 	dir ignored 
bumptech glide 	die free plug 
load engine 	bulk checkin 
disk 	files cache files 
cache strategy 	unplug bulk 
xiecc see 	checkin write locked 
weather 	index die 
xiecc see 	git builtin command 
