abspath.c path 	AboutActivity.java saved 
path die error 	instance 
retval cwd 	state toolbar 
depth last elem 	bundle context 
last slash 	compat 
next len path 	toolbar view 
path path 	glide 
pfx pfx len 	disk cache 
arg path 	strategy activity 
stat isdir die 	setting 
strbuf reset 	android bundle 
strbuf addstr directory 	android support 
find last 	content 
dir sep xstrdup 	context compat 
strbuf setlen 	android support 
xmemdupz strbuf reset 	widget 
strbuf getcwd 	toolbar android 
die errno chdir 	view view 
die errno 	bumptech 
strbuf getcwd 	glide glide 
die errno dir 	bumptech 
sep strbuf 	glide load 
addch strbuf addstr 	engine disk 
free lstat 	cache 
islnk strbuf readlink 	strategy xiecc 
die errno 	see weather 
strbuf swap strbuf 	xiecc 
release free 	see weather 
chdir die errno 	activity xiecc 
strbuf release 	see 
real path real 	weather modules 
path strbuf 	domain setting 
reset strbuf absolute 	android 
path absolute 	bundle android 
path strbuf reset 	support 
strbuf strbuf 	content context 
addstr strbuf reset 	compat android 
absolute path 	support 
strbuf strbuf 	widget toolbar 
addstr use inspecting 	android view 
tracked content 	view 
path symlink directory 	bumptech glide 
want say 	glide bumptech 
directory dealing tracked 	glide 
content working 	load engine 
allow recursive symbolic 	disk cache 
links within 	strategy 
reason though real 	xiecc see 
path absolute 	weather 
path symlinks resolved 	xiecc see 
extra slashes 	weather activity 
removed equivalent specified 	xiecc 
path want 	see weather 
absolute path mind 	modules domain 
links use 	setting 
absolute path 	android bundle 
pointer buffer input 	android support 
intermediate paths 	content 
must shorter max 	context compat 
path directory 	android support 
part path everything 	widget 
last dir 	toolbar android 
sep must denote 	view 
valid existing 	view bumptech 
directory last component 	glide glide 
need exist 	bumptech 
die error die 	glide load 
informative error 	engine disk 
message problem otherwise 	cache 
errors without 	strategy xiecc 
generating output path 	see weather 
buffer path 	xiecc 
already user wants 	see weather 
temporarily chdir 	activity xiecc 
store original 	see 
cwd chdir back 	weather modules 
end function 	domain 
already done use 	setting android 
absolute path 	bundle android 
relative one want 	support 
resolve links 	content context 
use real path 	compat android 
unlike prefix 	support 
path used named 	widget toolbar 
file interact 	android view 
index entry name 	view 
random file 	bumptech glide 
filesystem prefix absolute 	glide bumptech 
paths still 	glide 
replace add.c builtin 	load engine 
usage patch 	disk 
interactive interactive edit 	cache strategy 
interactive take 	xiecc see 
worktree changes 	weather 
flags errors data 	xiecc see 
opt cbdata 	weather activity 
data path prefix 	xiecc 
pathspec flags 	see weather 
data rev dir 	modules domain 
pathspec prefix 	setting 
seen src dst 	android bundle 
entry verbose 	android support 
pathspec seen revision 	content 
patch mode 	context compat 
pathspec status argv 	android 
argc argv 	support widget 
prefix patch pathspec 	toolbar android 
argc argv 	view 
prefix file apply 	view bumptech 
argv child 	glide glide 
rev file ignore 	bumptech 
error verbose 	glide load 
show ignored 	engine disk 
refresh ignore errors 	cache 
intent ignore 	strategy xiecc 
missing addremove addremove 	see weather 
opt arg 	xiecc 
unset builtin options 	see weather 
dir flags 	activity 
exit status argc 	xiecc see 
argv prefix 	weather modules 
exit status pathspec 	domain 
dir flags 	setting android 
files require pathspec 	bundle android 
seen baselen 	support 
path dtype fix 	content context 
unmerged status 	compat android 
die file index 	support 
die file 	widget toolbar 
index memset 	android view 
init revisions setup 	view 
revisions copy 	bumptech glide 
pathspec run diff 	glide 
files xcalloc 	bumptech glide 
dir path match 	load engine 
pathspec matches 	disk 
index xcalloc refresh 	cache strategy 
index die 	xiecc see 
free argv push 	weather 
argv push 	xiecc see 
argv push argv 	weather activity 
push argv 	xiecc 
push run command 	see weather 
opt argv 	modules domain 
clear parse pathspec 	setting 
run interactive 	android bundle 
git pathdup git 	android 
config read 	support content 
cache die 	context compat 
init revisions setup 	android 
revisions diff 	support widget 
opt open die 	toolbar android 
xfdopen run 	view 
diff files die 	view bumptech 
launch editor 	glide glide 
die stat die 	bumptech 
errno die 	glide load 
run command die 	engine disk 
unlink free 	cache 
strcmp strcmp git 	strategy xiecc 
config git 	see 
config file cache 	weather xiecc 
die git 	see weather 
config parse options 	activity 
exit interactive 	xiecc see 
edit patch die 	weather modules 
die hold 	domain 
locked index 	setting android 
read cache die 	bundle android 
parse pathspec 	support 
