adlist.c list 	abspath.c path 
list len 	path die error 
current 	retval cwd 
next list 	depth last elem 
node list 	last slash 
node list 	next len path 
old node 	path path 
node list 	pfx pfx len 
node 	arg path 
list direction 	stat isdir die 
iter iter 	strbuf reset 
list list 	strbuf addstr directory 
iter current 	find last 
orig copy 	dir sep xstrdup 
iter 	strbuf setlen 
node list 	xmemdupz strbuf reset 
key iter 	strbuf getcwd 
node list 	die errno chdir 
index list 	die errno 
tail zmalloc 	strbuf getcwd 
free 	die errno dir 
zfree zfree 	sep strbuf 
zmalloc zmalloc 	addch strbuf addstr 
zmalloc free 	free lstat 
zfree zmalloc 	islnk strbuf readlink 
zfree list 	die errno 
create 	strbuf swap strbuf 
list iterator 	release free 
list next 	chdir die errno 
dup list 	strbuf release 
release list 	real path real 
release iterator 	path strbuf 
list 	reset strbuf absolute 
node tail 	path absolute 
list release 	path strbuf reset 
list release 	strbuf strbuf 
iterator list 	addstr strbuf reset 
release iterator 	absolute path 
list 	strbuf strbuf 
iterator list 	addstr use inspecting 
next match 	tracked content 
list release 	path symlink directory 
iterator list 	want say 
release iterator 	directory dealing tracked 
list 	content working 
release iterator 	allow recursive symbolic 
list length 	links within 
adlist doubly 	reason though real 
linked list 	path absolute 
implementation copyright 	path symlinks resolved 
salvatore 	extra slashes 
sanfilippo antirez 	removed equivalent specified 
gmail dot 	path want 
rights reserved 	absolute path mind 
redistribution use 	links use 
source binary 	absolute path 
forms 	pointer buffer input 
without modification 	intermediate paths 
permitted provided 	must shorter max 
following conditions 	path directory 
met redistributions 	part path everything 
source code 	last dir 
must 	sep must denote 
retain copyright 	valid existing 
notice list 	directory last component 
conditions following 	need exist 
disclaimer redistributions 	die error die 
binary form 	informative error 
must 	message problem otherwise 
reproduce copyright 	errors without 
notice list 	generating output path 
conditions following 	buffer path 
disclaimer documentation 	already user wants 
materials provided 	temporarily chdir 
distribution 	store original 
neither name 	cwd chdir back 
redis names 	end function 
contributors may 	already done use 
used endorse 	absolute path 
promote products 	relative one want 
derived 	resolve links 
software without 	use real path 
specific prior 	unlike prefix 
written permission 	path used named 
software provided 	file interact 
copyright holders 	index entry name 
contributors 	random file 
express implied 	filesystem prefix absolute 
warranties including 	paths still 
limited implied 	replace add.c builtin 
warranties merchantability 	usage patch 
fitness particular 	interactive interactive edit 
purpose 	interactive take 
disclaimed shall 	worktree changes 
copyright owner 	flags errors data 
contributors liable 	opt cbdata 
direct indirect 	data path prefix 
incidental special 	pathspec flags 
exemplary 	data rev dir 
consequential damages 	pathspec prefix 
including limited 	seen src dst 
procurement substitute 	entry verbose 
goods services 	pathspec seen revision 
loss use 	patch mode 
data 	pathspec status argv 
profits business 	argc argv 
interruption however 	prefix patch pathspec 
caused theory 	argc argv 
liability whether 	prefix file apply 
contract strict 	argv child 
liability 	rev file ignore 
tort including 	error verbose 
negligence otherwise 	show ignored 
arising way 	refresh ignore errors 
use software 	intent ignore 
even advised 	missing addremove addremove 
possibility 	opt arg 
damage create 	unset builtin options 
list created 	dir flags 
list freed 	exit status argc 
free list 	argv prefix 
every node 	exit status pathspec 
need 	dir flags 
freed user 	files require pathspec 
call free 	seen baselen 
list error 	path dtype fix 
returned otherwise 	unmerged status 
pointer list 	die file index 
free 	die file 
whole list 	index memset 
function fail 	init revisions setup 
node list 	revisions copy 
head containing 	pathspec run diff 
specified pointer 	files xcalloc 
error 	dir path match 
returned operation 	pathspec matches 
performed list 	index xcalloc refresh 
remains unaltered 	index die 
success list 	free argv push 
pointer pass 	argv push 
function 	argv push argv 
returned node 	push argv 
list tail 	push run command 
containing specified 	opt argv 
pointer error 	clear parse pathspec 
returned operation 	run interactive 
performed 	git pathdup git 
list remains 	config read 
unaltered success 	cache die 
list pointer 	init revisions setup 
pass function 	revisions diff 
returned specified 	opt open die 
node 	xfdopen run 
specified list 	diff files die 
caller free 	launch editor 
node function 	die stat die 
fail returns 	errno die 
list iterator 	run command die 
iter 	unlink free 
initialization every 	strcmp strcmp git 
call list 	config git 
next next 	config file cache 
element list 	die git 
function fail 	config parse options 
release 	exit interactive 
iterator memory 	edit patch die 
create iterator 	die hold 
list iterator 	locked index 
structure next 	read cache die 
element iterator 	parse pathspec 
valid 	memset setup standard 
currently returned 	excludes fill 
element list 	directory prune directory 
del node 	refresh find 
elements function 	pathspecs matching index 
returns pointer 	guard pathspec 
next 	file exists excluded 
element list 	dir ignored 
elements classical 	die free plug 
usage patter 	bulk checkin 
iter list 	files cache files 
iterator list 	unplug bulk 
direction 	checkin write locked 
node list 	index die 
next iter 	git builtin command 
something list 	copyright linus 
node node 	torvalds request 
duplicate whole 	path missing working 
list 	deleted either 
memory returned 	request path exists 
success copy 	working attempt 
original list 	explicitly path exist 
returned dup 	working caught 
