api.h data size length mchar 	api.h data size length mchar 
node idx list size length 	node idx list size length 
myhtml init myhtml myhtml encoding 	myhtml init myhtml myhtml encoding 
html html size myhtml parse 	html html size myhtml parse 
fragment encoding html html size 	fragment encoding html html size 
myhtml parse fragment single html 	myhtml parse fragment single html 
html size myhtml parse chunk 	html size myhtml parse chunk 
fragment html html size myhtml 	fragment html html size myhtml 
parse chunk fragment single myhtml 	parse chunk fragment single myhtml 
root node myhtml root node 	root node myhtml root node 
myhtml root node node inc 	myhtml root node node inc 
node inc node collection tag 	node inc node collection tag 
status collection name length status 	status collection name length status 
node node node node node 	node node node node node 
myhtml node create node node 	myhtml node create node node 
node node target node target 	node node target node target 
node target node target node 	node target node target node 
node text length encoding node text 	node text length encoding node text 
length encoding node tag length 	length encoding node tag length 
tag name length node node 	tag name length node node 
node node length node attr 	node node length node attr 
attr attr length attr length 	attr attr length attr length 
node key key len node 	node key key len node 
key key len len encoding 	key key len len encoding 
node attr node key key 	node attr node key key 
len node attr attr tag 	len node attr attr tag 
tag tag index tag tag 	tag tag index tag tag 
index tag tag index tag 	index tag tag index tag 
tag index node tag index 	tag index node tag index 
tag tag index tag tag 	tag tag index tag tag 
index tag index node index 	index tag index node index 
node index node tag index 	node index node tag index 
tag size status collection collection 	tag size status collection collection 
collection length encoding codepoint data 	collection length encoding codepoint data 
codepoint data text length encoding 	codepoint data text length encoding 
text length encoding text length 	text length encoding text length 
encoding text length encoding mchar 	encoding text length encoding mchar 
node str size mchar node 	node str size mchar node 
str size str str str 	str size str str str 
destroy obj str str str 	destroy obj str str str 
str data str size str 	str data str size str 
length mchar node size mchar 	length mchar node size mchar 
node data len copy size 	node data len copy size 
mchar node data str str 	mchar node data str str 
str str size copyright alexander 	str str size copyright alexander 
borisov licensed apache license version 	borisov licensed apache license version 
license may use file compliance 	license may use file compliance 
license may obtain copy license 	license may obtain copy license 
http www apache licenses license 	http www apache licenses license 
unless required applicable law agreed 	unless required applicable law agreed 
writing software distributed license distributed 	writing software distributed license distributed 
basis without warranties conditions kind 	basis without warranties conditions kind 
either express implied see license 	either express implied see license 
specific language governing permissions limitations license 	specific language governing permissions limitations license 
author lex borisov gmail alexander 	author lex borisov gmail alexander 
borisov file myhtml api fast 	borisov file myhtml api fast 
html parser threads possibility single 	html parser threads possibility single 
mode posix threads dependencies https 	mode posix threads dependencies https 
html spec whatwg specification encodings 	html spec whatwg specification encodings 
type html encoding future html 	type html encoding future html 
encoding custom future encoding basic 	encoding custom future encoding basic 
tag ids myhtml statuses myhtml 	tag ids myhtml statuses myhtml 
myhtml options myhtml html basic 	myhtml options myhtml html basic 
structure create many times myhtml 	structure create many times myhtml 
html secondary structure create many 	html secondary structure create many 
times html tag mchar structures 	times html tag mchar structures 
html structures myhtml collection html 	html structures myhtml collection html 
create html structure myhtml successful 	create html structure myhtml successful 
otherwise allocating initialization resources html 	otherwise allocating initialization resources html 
structure param myhtml param work 	structure param myhtml param work 
options many threads html options 	options many threads html options 
parse mode separately param count 	parse mode separately param count 
depends choice work options param 	depends choice work options param 
queue size tokens dynamically increasing 	queue size tokens dynamically increasing 
specified number html status successful 	specified number html status successful 
otherwise error status clears queue 	otherwise error status clears queue 
threads resources param myhtml destroy 	threads resources param myhtml destroy 
html structure param myhtml successful 	html structure param myhtml successful 
otherwise html structure parsing html 	otherwise html structure parsing html 
param previously created structure myhtml 	param previously created structure myhtml 
param input character encoding html 	param input character encoding html 
encoding utf html encoding param 	encoding utf html encoding param 
html param html size input 	html param html size input 
character encoding decode utf html 	character encoding decode utf html 
status successful otherwise error status 	status successful otherwise error status 
parsing fragment html param previously 	parsing fragment html param previously 
created structure myhtml param input 	created structure myhtml param input 
character encoding html encoding utf 	character encoding html encoding utf 
html encoding param html param 	html encoding param html param 
html size param fragment root tag 	html size param fragment root tag 
html tag div param fragment 	html tag div param fragment 
html html input character encoding 	html html input character encoding 
decode utf html status successful 	decode utf html status successful 
otherwise error status parsing html 	otherwise error status parsing html 
single mode matter said initialization 	single mode matter said initialization 
html param previously created structure 	html param previously created structure 
myhtml param input character encoding 	myhtml param input character encoding 
html encoding utf html encoding 	html encoding utf html encoding 
param html param html size 	param html param html size 
input character encoding decode utf 	input character encoding decode utf 
html status successful otherwise error 	html status successful otherwise error 
status parsing fragment html single 	status parsing fragment html single 
mode matter said initialization html 	mode matter said initialization html 
param previously created structure myhtml 	param previously created structure myhtml 
param input character encoding html 	param input character encoding html 
encoding utf html encoding param 	encoding utf html encoding param 
html param html size param 	html param html size param 
fragment root tag html tag 	fragment root tag html tag 
div param fragment html html 	div param fragment html html 
input character encoding decode utf 	input character encoding decode utf 
html status successful otherwise error 	html status successful otherwise error 
status parsing html chunk end 	status parsing html chunk end 
parsing call myhtml parse chunk 	parsing call myhtml parse chunk 
end function param myhtml param 	end function param myhtml param 
html param html size html 	html param html size html 
status successful otherwise error status 	status successful otherwise error status 
parsing chunk fragment html end 	parsing chunk fragment html end 
parsing call myhtml parse chunk 	parsing call myhtml parse chunk 
end function param myhtml param 	end function param myhtml param 
html param html size param 	html param html size param 
fragment root tag html tag 	fragment root tag html tag 
div param fragment html html 	div param fragment html html 
html status successful otherwise error 	html status successful otherwise error 
status parsing html chunk single 	status parsing html chunk single 
mode matter said initialization html 	mode matter said initialization html 
param myhtml param html param html 	param myhtml param html param html 
size html status successful otherwise 	size html status successful otherwise 
error status parsing chunk fragment 	error status parsing chunk fragment 
html single mode matter said 	html single mode matter said 
initialization html param myhtml param 	initialization html param myhtml param 
html param html size param 	html param html size param 
fragment root tag html tag 	fragment root tag html tag 
div param fragment html html 	div param fragment html html 
html status successful otherwise error 	html status successful otherwise error 
status end parsing html chunks 	status end parsing html chunks 
param myhtml html status successful 	param myhtml html status successful 
otherwise error status html create 	otherwise error status html create 
html structure myhtml successful otherwise 	html structure myhtml successful otherwise 
allocating initialization resources html structure 	allocating initialization resources html structure 
param myhtml param workmyhtml html 	param myhtml param workmyhtml html 
status successful otherwise error status 	status successful otherwise error status 
clears resources parsing param myhtml 	clears resources parsing param myhtml 
child node node children already 	child node node children already 
exists added last param myhtml 	exists added last param myhtml 
param myhtml node node child 	param myhtml node node child 
node param myhtml node node 	node param myhtml node node 
adds node immediately existing node 	adds node immediately existing node 
param myhtml param myhtml node 	param myhtml param myhtml node 
node param myhtml node node 	node param myhtml node node 
node immediately existing node param 	node immediately existing node param 
myhtml param myhtml node node 	myhtml param myhtml node node 
param myhtml node node destroy 	param myhtml node node destroy 
html structure param myhtml successful 	html structure param myhtml successful 
otherwise html structure myhtml myhtml 	otherwise html structure myhtml myhtml 
param myhtml myhtml exists otherwise 	param myhtml myhtml exists otherwise 
myhtml tag myhtml param myhtml 	myhtml tag myhtml param myhtml 
myhtml tag exists otherwise myhtml 	myhtml tag exists otherwise myhtml 
tag index myhtml param myhtml 	tag index myhtml param myhtml 
myhtml tag index exists otherwise 	myhtml tag index exists otherwise 
document root param myhtml myhtml 	document root param myhtml myhtml 
node successful otherwise node html 	node successful otherwise node html 
document html root html document param 	document html root html document param 
myhtml myhtml node successful otherwise 	myhtml myhtml node successful otherwise 
node body document html body 	node body document html body 
param myhtml myhtml node successful 	param myhtml myhtml node successful 
otherwise mchar param myhtml mchar 	otherwise mchar param myhtml mchar 
exists otherwise node main mchar 	exists otherwise node main mchar 
param myhtml size node print 	param myhtml size node print 
node print including current node 	node print including current node 
param myhtml param myhtml node 	param myhtml param myhtml node 
param file handle example use 	param file handle example use 
stdout param tab increment pretty 	stdout param tab increment pretty 
print print node print excluding 	print print node print excluding 
current node param myhtml param 	current node param myhtml param 
myhtml node param file handle 	myhtml node param file handle 
example use stdout param tab 	example use stdout param tab 
increment pretty print print node 	increment pretty print print node 
param myhtml param myhtml node 	param myhtml param myhtml node 
param file handle example use 	param file handle example use 
stdout html node first begin 	stdout html node first begin 
node param myhtml myhtml node 	node param myhtml myhtml node 
successful otherwise nodes tag param 	successful otherwise nodes tag param 
myhtml param myhtml collection creates 	myhtml param myhtml collection creates 
collection param tag param status 	collection param tag param status 
operation myhtml collection successful otherwise 	operation myhtml collection successful otherwise 
nodes tag name param myhtml 	nodes tag name param myhtml 
param myhtml collection creates collection 	param myhtml collection creates collection 
param tag name param tag 	param tag name param tag 
name length param status operation 	name length param status operation 
myhtml collection successful otherwise next 	myhtml collection successful otherwise next 
sibling node param myhtml node 	sibling node param myhtml node 
myhtml node exists otherwise previous 	myhtml node exists otherwise previous 
sibling node param myhtml node 	sibling node param myhtml node 
myhtml node exists otherwise parent 	myhtml node exists otherwise parent 
node param myhtml node myhtml 	node param myhtml node myhtml 
node exists otherwise child first 	node exists otherwise child first 
child node param myhtml node 	child node param myhtml node 
myhtml node exists otherwise last child 	myhtml node exists otherwise last child 
node param myhtml node myhtml 	node param myhtml node myhtml 
node exists otherwise create node 	node exists otherwise create node 
param myhtml param tag see 	param myhtml param tag see 
myhtml tags param myhtml myhtml 	myhtml tags param myhtml myhtml 
node successful otherwise release allocated 	node successful otherwise release allocated 
resources param myhtml param myhtml 	resources param myhtml param myhtml 
node node param myhtml param 	node node param myhtml param 
myhtml node myhtml node successful 	myhtml node myhtml node successful 
otherwise node release allocated resources 	otherwise node release allocated resources 
param myhtml param myhtml node 	param myhtml param myhtml node 
nodes recursively release allocated resources 	nodes recursively release allocated resources 
param myhtml param myhtml node 	param myhtml param myhtml node 
appropriate place inserting node insertion 	appropriate place inserting node insertion 
validation insert node table node 	validation insert node table node 
node inserted table node param 	node inserted table node param 
myhtml param target node param 	myhtml param target node param 
insertion node insertion node successful 	insertion node insertion node successful 
otherwise append target node last 	otherwise append target node last 
child insertion without validation param 	child insertion without validation param 
myhtml param target node param 	myhtml param target node param 
insertion node insertion node successful 	insertion node insertion node successful 
otherwise append sibling node target 	otherwise append sibling node target 
node insertion without validation param 	node insertion without validation param 
myhtml param target node param 	myhtml param target node param 
insertion node insertion node successful 	insertion node insertion node successful 
otherwise append sibling node target 	otherwise append sibling node target 
node insertion without validation param 	node insertion without validation param 
myhtml param target node param 	myhtml param target node param 
insertion node insertion node successful 	insertion node insertion node successful 
otherwise text node convert character 	otherwise text node convert character 
encoding param myhtml param target 	encoding param myhtml param target 
node param text param text 	node param text param text 
length param character encoding myhtml 	length param character encoding myhtml 
successful otherwise text node convert 	successful otherwise text node convert 
character encoding param myhtml param 	character encoding param myhtml param 
target node param text param text 	target node param text param text 
length param character encoding myhtml 	length param character encoding myhtml 
successful otherwise node param myhtml 	successful otherwise node param myhtml 
node myhtml node tag param 	node myhtml node tag param 
myhtml node myhtml tag tag 	myhtml node myhtml tag tag 
